,GEO_ID,NAME,tot_poverty,pov_150
413,0500000US13053,"Chattahoochee County, Georgia",1418,2503
414,0500000US13055,"Chattooga County, Georgia",4415,8101
415,0500000US13057,"Cherokee County, Georgia",18356,31917
416,0500000US13059,"Clarke County, Georgia",34146,48819
417,0500000US13061,"Clay County, Georgia",1144,1558
418,0500000US13063,"Clayton County, Georgia",51525,90013
419,0500000US13065,"Clinch County, Georgia",2649,3544
420,0500000US13067,"Cobb County, Georgia",67319,123094
421,0500000US13069,"Coffee County, Georgia",7786,13701
422,0500000US13071,"Colquitt County, Georgia",11124,18027
423,0500000US13073,"Columbia County, Georgia",11173,18596
424,0500000US13075,"Cook County, Georgia",4051,6145
425,0500000US13077,"Coweta County, Georgia",15191,23757
426,0500000US13079,"Crawford County, Georgia",2430,3694
427,0500000US13081,"Crisp County, Georgia",7085,10614
428,0500000US13083,"Dade County, Georgia",2023,3703
429,0500000US13085,"Dawson County, Georgia",2084,3362
430,0500000US13087,"Decatur County, Georgia",6203,8819
431,0500000US13089,"DeKalb County, Georgia",111182,180435
432,0500000US13091,"Dodge County, Georgia",4075,6925
433,0500000US13093,"Dooly County, Georgia",2984,4056
434,0500000US13095,"Dougherty County, Georgia",24396,34601
435,0500000US13097,"Douglas County, Georgia",18157,31152
436,0500000US13099,"Early County, Georgia",3086,4386
437,0500000US13101,"Echols County, Georgia",960,1320
438,0500000US13103,"Effingham County, Georgia",5073,9238
439,0500000US13105,"Elbert County, Georgia",4029,6611
440,0500000US13107,"Emanuel County, Georgia",4785,7799
441,0500000US13109,"Evans County, Georgia",2730,4196
442,0500000US13111,"Fannin County, Georgia",3109,5706
443,0500000US13113,"Fayette County, Georgia",6167,12390
444,0500000US13115,"Floyd County, Georgia",17122,27922
445,0500000US13117,"Forsyth County, Georgia",12937,20463
446,0500000US13119,"Franklin County, Georgia",5084,7174
447,0500000US13121,"Fulton County, Georgia",144224,220148
448,0500000US13123,"Gilmer County, Georgia",5059,8331
449,0500000US13125,"Glascock County, Georgia",550,851
450,0500000US13127,"Glynn County, Georgia",15092,21990
451,0500000US13129,"Gordon County, Georgia",10186,17369
452,0500000US13131,"Grady County, Georgia",5490,8525
453,0500000US13133,"Greene County, Georgia",3353,5403
454,0500000US13135,"Gwinnett County, Georgia",97006,178366
455,0500000US13137,"Habersham County, Georgia",6381,10635
456,0500000US13139,"Hall County, Georgia",27432,46359
457,0500000US13141,"Hancock County, Georgia",1340,2354
458,0500000US13143,"Haralson County, Georgia",4274,7340
459,0500000US13145,"Harris County, Georgia",2079,4311
460,0500000US13147,"Hart County, Georgia",3750,7730
461,0500000US13149,"Heard County, Georgia",1647,2834
462,0500000US13151,"Henry County, Georgia",19070,37816
463,0500000US13153,"Houston County, Georgia",21065,35087
464,0500000US13155,"Irwin County, Georgia",2186,3486
465,0500000US13157,"Jackson County, Georgia",7564,13336
466,0500000US13159,"Jasper County, Georgia",2115,4080
467,0500000US13161,"Jeff Davis County, Georgia",3298,6741
468,0500000US13163,"Jefferson County, Georgia",3711,5743
469,0500000US13165,"Jenkins County, Georgia",2655,4195
470,0500000US13167,"Johnson County, Georgia",2043,3059
471,0500000US13169,"Jones County, Georgia",3967,7182
472,0500000US13171,"Lamar County, Georgia",3215,4459
473,0500000US13173,"Lanier County, Georgia",2309,3505
474,0500000US13175,"Laurens County, Georgia",12539,17262
475,0500000US13177,"Lee County, Georgia",3632,5148
476,0500000US13179,"Liberty County, Georgia",9410,17662
477,0500000US13181,"Lincoln County, Georgia",1600,2325
478,0500000US13183,"Long County, Georgia",3481,5908
479,0500000US13185,"Lowndes County, Georgia",27120,38770
480,0500000US13187,"Lumpkin County, Georgia",4664,8448
481,0500000US13189,"McDuffie County, Georgia",5075,7860
482,0500000US13191,"McIntosh County, Georgia",2465,3689
483,0500000US13193,"Macon County, Georgia",2865,4596
484,0500000US13195,"Madison County, Georgia",4953,8179
485,0500000US13197,"Marion County, Georgia",1387,2598
486,0500000US13199,"Meriwether County, Georgia",4806,7442
487,0500000US13201,"Miller County, Georgia",1215,1849
488,0500000US13205,"Mitchell County, Georgia",4592,7678
489,0500000US13207,"Monroe County, Georgia",3625,5670
490,0500000US13209,"Montgomery County, Georgia",1529,2595
491,0500000US13211,"Morgan County, Georgia",1681,2662
492,0500000US13213,"Murray County, Georgia",6118,10711
