,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
1659,0500000US31009,"Blaine County, Nebraska",0,0,3,0,572,580
1660,0500000US31011,"Boone County, Nebraska",29,3,1,94,5269,5353
1661,0500000US31013,"Box Butte County, Nebraska",30,362,37,1333,10472,11279
1662,0500000US31015,"Boyd County, Nebraska",16,14,5,15,1935,2006
1663,0500000US31017,"Brown County, Nebraska",1,5,14,31,2951,3022
1664,0500000US31019,"Buffalo County, Nebraska",458,137,627,4085,45169,48402
1665,0500000US31021,"Burt County, Nebraska",48,101,32,172,6304,6594
1666,0500000US31023,"Butler County, Nebraska",53,30,42,239,7945,8205
1667,0500000US31025,"Cass County, Nebraska",202,44,153,746,24604,25463
1668,0500000US31027,"Cedar County, Nebraska",5,64,7,146,8534,8657
1669,0500000US31029,"Chase County, Nebraska",1,0,0,551,3988,4061
1670,0500000US31031,"Cherry County, Nebraska",1,218,25,158,5286,5781
1671,0500000US31033,"Cheyenne County, Nebraska",7,40,124,663,9653,10090
1672,0500000US31035,"Clay County, Nebraska",25,13,19,554,6115,6313
1673,0500000US31037,"Colfax County, Nebraska",281,98,9,4603,9407,10499
1674,0500000US31039,"Cuming County, Nebraska",7,40,14,870,8672,9055
1675,0500000US31041,"Custer County, Nebraska",66,13,91,285,10479,10784
1676,0500000US31043,"Dakota County, Nebraska",862,485,659,7824,14611,20697
1677,0500000US31045,"Dawes County, Nebraska",91,258,94,416,8105,9082
1678,0500000US31047,"Dawson County, Nebraska",1298,195,6,7822,21305,23924
1679,0500000US31049,"Deuel County, Nebraska",0,14,3,120,1852,1932
1680,0500000US31051,"Dixon County, Nebraska",20,4,2,702,5531,5809
1681,0500000US31053,"Dodge County, Nebraska",261,242,227,4181,35027,36679
1682,0500000US31055,"Douglas County, Nebraska",60705,2834,17723,65203,431358,543253
1683,0500000US31057,"Dundy County, Nebraska",3,1,0,105,1792,1823
1684,0500000US31059,"Fillmore County, Nebraska",49,28,11,211,5488,5676
1685,0500000US31061,"Franklin County, Nebraska",7,4,4,57,3025,3076
1686,0500000US31063,"Frontier County, Nebraska",1,12,2,28,2545,2599
1687,0500000US31065,"Furnas County, Nebraska",9,27,7,168,4701,4850
1688,0500000US31067,"Gage County, Nebraska",118,77,119,464,21033,21778
1689,0500000US31069,"Garden County, Nebraska",3,5,25,84,1876,1930
1690,0500000US31071,"Garfield County, Nebraska",3,0,0,41,1939,1968
1691,0500000US31073,"Gosper County, Nebraska",0,10,8,11,1948,1977
1692,0500000US31075,"Grant County, Nebraska",0,0,0,20,647,647
1693,0500000US31077,"Greeley County, Nebraska",13,0,9,48,2393,2447
1694,0500000US31079,"Hall County, Nebraska",1327,252,702,15966,55532,61105
1695,0500000US31081,"Hamilton County, Nebraska",76,71,36,270,8756,9118
1696,0500000US31083,"Harlan County, Nebraska",19,13,6,150,3324,3465
1697,0500000US31085,"Hayes County, Nebraska",0,0,0,58,1003,1013
1698,0500000US31087,"Hitchcock County, Nebraska",4,5,0,24,2854,2866
1699,0500000US31089,"Holt County, Nebraska",5,90,46,425,10079,10360
1700,0500000US31091,"Hooker County, Nebraska",6,3,0,29,653,669
1701,0500000US31093,"Howard County, Nebraska",7,2,14,153,6171,6365
1702,0500000US31095,"Jefferson County, Nebraska",0,70,0,249,7110,7354
1703,0500000US31097,"Johnson County, Nebraska",318,70,62,510,4503,5167
1704,0500000US31099,"Kearney County, Nebraska",10,7,23,349,6432,6548
1705,0500000US31101,"Keith County, Nebraska",42,49,51,516,7803,8103
1706,0500000US31103,"Keya Paha County, Nebraska",1,0,3,8,719,736
1707,0500000US31105,"Kimball County, Nebraska",1,13,23,295,3554,3713
1708,0500000US31107,"Knox County, Nebraska",16,817,46,222,7448,8551
1709,0500000US31109,"Lancaster County, Nebraska",11888,1899,12290,19707,262334,301707
1710,0500000US31111,"Lincoln County, Nebraska",363,106,226,2888,34157,35777
1711,0500000US31113,"Logan County, Nebraska",2,2,0,16,806,830
1712,0500000US31115,"Loup County, Nebraska",0,3,0,0,531,542
1713,0500000US31117,"McPherson County, Nebraska",0,0,0,4,417,425
1714,0500000US31119,"Madison County, Nebraska",461,540,311,4994,32300,35125
1715,0500000US31121,"Merrick County, Nebraska",70,8,3,311,7487,7793
1716,0500000US31123,"Morrill County, Nebraska",36,23,10,733,4638,4843
1717,0500000US31125,"Nance County, Nebraska",3,8,1,88,3593,3607
1718,0500000US31127,"Nemaha County, Nebraska",112,44,6,178,6846,7101
1719,0500000US31129,"Nuckolls County, Nebraska",4,8,27,117,4254,4352
1720,0500000US31131,"Otoe County, Nebraska",21,83,52,1137,15262,15890
1721,0500000US31133,"Pawnee County, Nebraska",0,6,0,50,2625,2695
1722,0500000US31135,"Perkins County, Nebraska",5,2,0,109,2884,2911
1723,0500000US31137,"Phelps County, Nebraska",12,11,18,485,8941,9236
1724,0500000US31139,"Pierce County, Nebraska",16,23,12,114,7030,7179
1725,0500000US31141,"Platte County, Nebraska",93,37,202,5527,31340,32703
1726,0500000US31143,"Polk County, Nebraska",12,47,15,227,5094,5242
1727,0500000US31145,"Red Willow County, Nebraska",175,35,36,522,10570,10884
1728,0500000US31147,"Richardson County, Nebraska",25,201,24,147,7634,8149
1729,0500000US31149,"Rock County, Nebraska",4,0,3,10,1351,1407
1730,0500000US31151,"Saline County, Nebraska",114,9,429,3348,12972,14356
1731,0500000US31153,"Sarpy County, Nebraska",7018,638,3927,14507,152881,172460
1732,0500000US31155,"Saunders County, Nebraska",40,49,50,420,20404,20946
1733,0500000US31157,"Scotts Bluff County, Nebraska",311,400,242,8349,34154,36599
1734,0500000US31159,"Seward County, Nebraska",80,17,103,390,16459,17113
1735,0500000US31161,"Sheridan County, Nebraska",26,452,36,228,4402,5259
1736,0500000US31163,"Sherman County, Nebraska",23,2,9,59,3040,3090
1737,0500000US31165,"Sioux County, Nebraska",4,0,3,31,1203,1274
1738,0500000US31167,"Stanton County, Nebraska",44,0,15,318,5858,6022
1739,0500000US31169,"Thayer County, Nebraska",7,13,0,114,5040,5163
1740,0500000US31171,"Thomas County, Nebraska",0,1,14,4,650,675
1741,0500000US31173,"Thurston County, Nebraska",10,3981,36,327,2807,6989
